iso;adm1;adm2;umd_tree_cover_loss__year;umd_tree_cover_loss__ha;gfw_gross_emissions_co2e_all_gases__Mg
CAN;2;12;2001;15195.645823142351;4726071.322273439
CAN;2;12;2002;16700.019582698053;5290290.982713725
CAN;2;12;2003;17081.194539126886;5506439.604279483
CAN;2;12;2004;26569.81296525762;8545787.153023897
CAN;2;12;2005;30052.96641041966;9604936.628565447
CAN;2;12;2006;38821.48578014406;13268104.006590242
CAN;2;12;2007;40675.344842661885;14409625.451367661
CAN;2;12;2008;32379.13890760405;11839729.443452967
CAN;2;12;2009;23572.917166518404;8655529.384300433
CAN;2;12;2010;21462.94944723611;8297285.766094568
CAN;2;12;2011;16850.903970516247;6837718.034269363
CAN;2;12;2012;29420.526778028303;12012042.687263831
CAN;2;12;2013;19329.15064433456;7948957.464088009
CAN;2;12;2014;21225.9427978602;8723838.524799937
CAN;2;12;2015;23583.57262900884;9768305.518973969
CAN;2;12;2016;23928.178928064473;10604350.092532072
CAN;2;12;2017;33207.719433634746;15331493.551140467
CAN;2;12;2018;40811.93305037799;17857867.180338126
CAN;2;12;2019;29087.769292153964;13940270.204774588
CAN;2;12;2020;18288.404098202947;8963635.937764263
